Well,Depth,GR,RT,NPHI,RHOB,RD,DT,VSH,KLOGH,PHIF,SW,Equinor facies,Lithology,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4,GR_Slope,GR_Serration,RelPos,OppositionIndex,NTG_Slope,AI_Slope,BaseSharpness
15_9-F-4,3256.635649,-0.666497638,0.407508548,-0.216142228,-0.024585865,0.745471176,-0.051669842,-0.645839667,-0.143205213,0.23071036,-0.924343505,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.210009175,-0.398587846,-1.155736182,-0.004134061,0.027998875,-0.296715899
15_9-F-4,3256.788049,-0.631015272,0.384822832,-0.065321785,0.002780961,0.776975863,-0.130919116,-0.618020305,-0.158235863,0.249559073,-0.917879996,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.259929187,-0.685786375,-0.207233371,-0.004134061,0.262177718,-0.296715899
15_9-F-4,3256.940449,-0.541726503,0.332342525,-0.019836197,-0.129219225,0.813821234,0.036132541,-0.547343782,-0.182052297,0.342352295,-0.908044199,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.301301437,-0.862439135,1.058863688,-0.004134061,0.307574502,-0.296715899
15_9-F-4,3257.092849,-0.531252978,0.32142259,-0.062927763,-0.343319904,0.813237376,0.278376192,-0.539073217,-0.157813898,0.464143221,-0.918723079,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.331451774,-1.0614489,1.581094391,-0.004134061,-0.066873922,-0.296715899
15_9-F-4,3257.245249,-0.521793453,0.373478409,0.351229709,-0.385173247,0.777958151,0.354683728,-0.531554431,-0.128373983,0.590283898,-0.951883752,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.357171274,-1.26810203,1.515684972,-0.004134061,-0.522448057,0.992578489
15_9-F-4,3257.397649,-0.467798864,0.390908096,0.312926189,-0.469687828,0.776886188,0.262038604,-0.488697384,-0.148852734,0.633780781,-0.961719553,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.37103504,-1.426198102,0.530948803,-0.004134061,-1.061393524,-0.170557258
15_9-F-4,3257.550049,-0.386026621,0.369944606,0.138165929,-0.637907186,0.780189114,0.083147992,-0.424787868,-0.177309867,0.694676251,-0.959752401,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.392390854,-1.457980733,-0.564351074,-0.004134061,-1.354679934,-0.170557258
15_9-F-4,3257.702449,-0.412019237,0.416606194,0.413473023,-0.889837067,0.779751432,0.007698853,-0.445088557,-0.099169192,0.916509981,-0.996566392,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.45570536,-1.326717853,-0.944755732,-0.004134061,-1.143894666,-0.170557258
15_9-F-4,3257.854849,-0.564883601,0.474280845,0.298562438,-0.984814032,0.732115903,-0.085815888,-0.565388915,0.05154242,0.948407529,-1.01848617,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.484217707,-1.003153738,-1.106942902,-0.004134061,-0.555649611,-0.170557258
15_9-F-4,3258.007249,-0.757073595,0.524536438,0.236319124,-1.023449214,0.738719287,-0.099726964,-0.717268081,0.341829378,0.957106816,-1.035628562,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.486656595,-0.579814512,-1.137684521,-0.004134061,0.142025212,-0.170557258
