Well,Depth,GR,VSH,RT,RD,NPHI,RHOB,DT,PHIF,SW,KLOGH,Equinor facies,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4
15_9-F-4,3270.351649,-0.516275413,-0.639409693,0.207102632,-0.020124181,0.309364702,-1.449123967,1.122965485,1.154560806,-0.570227881,0.476821504,0,0,0,0,1,0
15_9-F-4,3270.504049,-0.493375368,-0.620953818,0.208761316,-0.010845303,0.856445569,-1.381251388,1.336198018,1.267247793,-0.580756899,0.515328847,0,0,0,0,1,0
15_9-F-4,3270.656449,-0.484937938,-0.613855388,0.250844044,-0.006696434,0.204896908,-1.296158278,1.518368438,1.022103809,-0.575013825,0.281962399,0,0,0,0,1,0
15_9-F-4,3270.808849,-0.365534637,-0.518026844,0.333716652,-0.000460585,0.779469319,-1.268805879,1.371200295,1.17037621,-0.620001585,0.126955939,0,0,0,0,1,0
15_9-F-4,3270.961249,-0.277153077,-0.447042649,0.409942783,0.015915235,0.323110666,-1.366057227,1.041139333,1.103159356,-0.6415383,-0.053086204,0,0,0,0,1,0
15_9-F-4,3271.113649,-0.272700544,-0.443493377,0.398440189,0.01185061,0.958163746,-1.397459944,1.008417682,1.306787222,-0.654460327,0.039374631,0,0,0,0,1,0
15_9-F-4,3271.266049,-0.293176842,-0.459819798,0.271274114,-0.04694204,0.589778131,-1.391383246,0.838905788,1.196076945,-0.597029066,0.015484404,0,0,0,0,1,0
15_9-F-4,3271.418449,-0.289755687,-0.457690238,0.144080578,-0.1757816,0.026202481,-1.363016462,0.859171538,1.016173084,-0.525718648,-0.073986575,0,0,0,0,1,0
15_9-F-4,3271.570849,-0.178851738,-0.368250168,0.008102793,-0.290364282,0.284622335,-1.028720701,0.824356468,0.865923379,-0.443879212,-0.243374414,0,0,0,0,1,0
15_9-F-4,3271.723249,0.03061833,-0.200727566,0.026783434,-0.323801259,0.221392076,-0.294282992,0.220643439,0.357842683,-0.382619213,-0.434054913,0,0,0,0,1,0
15_9-F-4,3271.875649,0.29308577,0.010095359,0.096087852,-0.303469907,0.028951685,0.836243938,-0.372590381,-0.454690844,-0.278764459,-0.510009425,5,0,0,0,1,0
15_9-F-4,3272.028049,0.692581093,0.330943795,-0.282523278,-0.089780819,-0.828782946,1.884716112,-0.54025443,-1.403635382,0.297940632,-0.528478195,5,0,0,0,1,0
