Proportion_Facies_0,Proportion_Facies_1,Proportion_Facies_2,Proportion_Facies_3,Proportion_Facies_4,Proportion_Facies_5,Proportion_Facies_6,Well,Depth,True_Facies,HDG_Prediction,Max_Proportion,Vote_Agreement,Prediction_Entropy,HDG_Uncertainty,Prediction_Range,Normalized_Range
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3257.245249,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3257.397649,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3257.550049,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.25,0.0,0.0,0.75,0.0,0.0,0.0,15_9-F-4,3257.702449,0,3,0.75,75.0,0.5623351444188083,0.25,2.0,0.2857142857142857
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3257.854849,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3258.007249,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3258.159649,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3258.312049,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3258.464449,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3258.616849,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3258.769249,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3258.921649,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3259.074049,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3259.226449,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3259.378849,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3259.531249,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3259.683649,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3259.836049,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3259.988449,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3260.140849,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3260.293249,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3260.445649,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3260.598049,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3260.750449,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3260.902849,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3261.055249,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3261.207649,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3261.360049,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
